"TeamGroup  L7 EVO(120GB),TeamGroup,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 360MB/s,최대 530MB/s,,,,,,,"
"WD  Blue M.2 2280(500GB),WD,내장형,M.2 (2280),확인 요망,,,,최대 525MB/s,최대 545MB/s,,,,,,,"
"타무즈  RX460(240GB),타무즈,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 400MB/s,최대 530MB/s,,,,,,,"
"타무즈  RX470(120GB),타무즈,내장형,2.5형(6.4cm),TLC(토글),2D낸드,19 nm,실리콘모션 SM2256,400MB/s,510MB/s,,,,,,,"
"ADATA  XPG SX950(480GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,,최대 530MB/s,최대 560MB/s,,,,,,,"
"라온티앤아이  RX630(32GB),라온티앤아이,내장형,2.5형(6.4cm),MLC(토글),,,실리콘모션 2246,50MB/s,230MB/s,,,,,,,"
"갤럭시  GALAX GAMER V100T(240GB),갤럭시,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,파이슨 S3111-S11,최대 500MB/s,최대 520MB/s,,,,,,,"
"PALIT  UVS-SSD(240GB),PALIT,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,파이슨 S3111-S11,최대 450MB/s,최대 550MB/s,,,,,,,"
"Plextor  M8PeY PCIe(256GB),Plextor,내장형,PCIe 카드,MLC(토글),,15 nm,마벨 88SS1093,최대 900MB/s,최대 2,000MB/s,,,,,,,"
"ADATA  XPG SX950(240GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,,최대 520MB/s,최대 560MB/s,,,,,,,"
"Plextor  M6e PCIe Black Edition(256GB),Plextor,내장형,PCIe 카드,MLC(토글),,19 nm,마벨 88SS9183,최대 580MB/s,최대 770MB/s,,O,,,,,"
"타무즈  M550 M.2 2280(512GB),타무즈,내장형,M.2 (2280),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 520MB/s,최대 570MB/s,,,,,,,"
"Plextor  M7V(128GB),Plextor,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88SS1074B1,최대 500MB/s,최대 560MB/s,,,,,,,"
"갤럭시  GALAX GAMER L SSD V3(240GB),갤럭시,내장형,2.5형(6.4cm),MLC(토글),2D낸드,,파이슨 S3110-S10,최대 220MB/s,최대 550MB/s,,,,,,,"
"ADATA  Ultimate SU700(240GB),ADATA,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,Maxiotek,최대 520MB/s,최대 560MB/s,,O,,,,,"
"Plextor  S2G M.2 2280(256GB),Plextor,내장형,M.2 (2280),TLC(토글),,16 nm,실리콘모션 SM2258,최대 480MB/s,최대 520MB/s,,,,,,,"
"Plextor  M8PeGN M.2 2280(1TB),Plextor,내장형,M.2 (2280),MLC(토글),,15 nm,마벨 88SS1093,최대 1,400MB/s,최대 2,500MB/s,,,,,,,"
"라온티앤아이  MX370 mSATA(256GB),라온티앤아이,내장형,Mini SATA(mSATA),MLC(토글),,,실리콘모션 SM2246EN,320MB/s,560MB/s,,,,,,,"
"타무즈  외장 SSD 전용 파우치,타무즈,SSD 주변기기,,,,,,,,,,,,,,"
"ZOTAC  SONIX PCIe(480GB),ZOTAC,내장형,PCIe 카드,MLC(토글),,,,최대 1,300 MB/s,최대 2,600 MB/s,,,,,,,"
"타무즈  M550 M.2 2280(128GB),타무즈,내장형,M.2 (2280),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 460MB/s,최대 570MB/s,,,,,,,"
"SilverStone  듀얼 SSD 가이드 (SDP08-LITE),SilverStone,SSD 주변기기,철재(SECC),,,,,,,,,,,O,,"
"TOPDISK  SKT20(240GB),TOPDISK,내장형,2.5형(6.4cm),TLC(토글),,15 nm,실리콘모션 SM2256K,최대 510MB/s,최대 560MB/s,,,,,,,"
"Plextor  S2G M.2 2280(512GB),Plextor,내장형,M.2 (2280),TLC(토글),,16 nm,실리콘모션 SM2258,최대 480MB/s,최대 520MB/s,,,,,,,"
"Plextor  S3C(256GB),Plextor,내장형,2.5형(6.4cm),TLC(기타),2D낸드,14 nm,실리콘모션 SM2254,최대 510MB/s,최대 550MB/s,,,,,,,"
"TeamGroup  L3 EVO(120GB),TeamGroup,내장형,2.5형(6.4cm),TLC(토글),,,파이슨,최대 400MB/s,최대 500MB/s,,,,,,,"
"Plextor  S2G M.2 2280(128GB),Plextor,내장형,M.2 (2280),TLC(토글),,16 nm,실리콘모션 SM2258,최대 460MB/s,최대 520MB/s,,,,,,,"
"타무즈  M550 M.2 2280(256GB),타무즈,내장형,M.2 (2280),TLC(기타),3D낸드,,실리콘모션 SM2258,최대 520MB/s,최대 570MB/s,,,,,,,"
"TeamGroup  L3 EVO(240GB),TeamGroup,내장형,2.5형(6.4cm),TLC(토글),,,파이슨,최대 470MB/s,최대 530MB/s,,,,,,,"
"Plextor  M6e PCIe Black Edition(512GB),Plextor,내장형,PCIe 카드,MLC(토글),,19 nm,마벨 88SS9183,최대 625MB/s,최대 770MB/s,,O,,,,,"
"Plextor  M6e M.2 2280(128GB),Plextor,내장형,M.2 (2280),MLC(토글),,,마벨 88SS9183,최대 335MB/s,최대 770MB/s,,O,,,,,"
"TeamGroup  L5 Lite(480GB),TeamGroup,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,,최대 420MB/s,최대 530MB/s,,,,,,,"
"TeamGroup  L5 Lite(240GB),TeamGroup,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,,최대 400MB/s,최대 530MB/s,,,,,,,"
"Plextor  M7V M.2 2280(128GB),Plextor,내장형,M.2 (2280),TLC(토글),,,마벨 88SS1074B1,최대 500MB/s,최대 560MB/s,,,,,,,"
"Plextor  M6e M.2 2280(512GB),Plextor,내장형,M.2 (2280),MLC(토글),,,마벨 88SS9183,최대 625MB/s,최대 770MB/s,,O,,,,,"
"삼성전자  850 EVO Series(120GB),삼성전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,삼성 MGX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,"
"Sandisk  Z410(120GB),Sandisk,내장형,2.5형(6.4cm),TLC(토글),,,,최대 410MB/s,최대 535MB/s,,,,,,,"
"삼성전자  960 PRO M.2 2280(2TB),삼성전자,내장형,M.2 (2280),MLC(토글),3D낸드,,삼성 Polaris,최대 2,100MB/s,최대 3,500MB/s,,O,,,,,"
"삼성전자  960 EVO M.2 2280(500GB),삼성전자,내장형,M.2 (2280),TLC(토글),3D낸드,,삼성 Polaris,최대 1,800MB/s,최대 3,200MB/s,,O,,,,,"
"파이슨  S11MS mSATA 벌크(256GB),파이슨,내장형,,TLC(기타),2D낸드,,파이슨,,,,,,,,,"
"바른전자  OJ500i(128GB),바른전자,내장형,2.5형(6.4cm),MLC(기타),,,실리콘모션 SM2246,최대 145.10MB/s,최대 534.19MB/s,,,,,,,"
"삼성전자  850 EVO Series(1TB),삼성전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,삼성 MEX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,"
"인텔  Optane Memory M.2 2280(16GB),인텔,내장형,M.2 (2280),,,,,최대 280MB/s,최대 1,200MB/s,,,,,,,"
"삼성전자  850 PRO(1TB),삼성전자,내장형,2.5형(6.4cm),MLC(토글),3D낸드,,삼성 3-CORE MEX,최대 520MB/s,최대 550MB/s,,,,,,,"
"삼성전자  SM961 M.2 2280 병행수입(256GB),삼성전자,내장형,,MLC(토글),3D낸드,,삼성 Polaris (AMD),최대 1800MB/s,최대 3200MB/s,,,,,,,"
"삼성전자  850 EVO M.2 2280(250GB),삼성전자,내장형,M.2 (2280),,3D낸드,,삼성 MGX Controller,최대 500MB/s,최대 540MB/s,,,,,,,"
"삼성전자  850 EVO Series(4TB),삼성전자,내장형,2.5형(6.4cm),TLC(토글),3D낸드,,삼성 MHX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,"
"삼성전자  850 EVO M.2 2280(120GB),삼성전자,내장형,M.2 (2280),,3D낸드,,삼성 MGX Controller,최대 500MB/s,최대 540MB/s,,,,,,,"
"삼성전자  960 PRO M.2 2280(1TB),삼성전자,내장형,M.2 (2280),MLC(토글),3D낸드,,삼성 Polaris,최대 2,100MB/s,최대 3,500MB/s,,O,,,,,"
"ADATA  Premier Pro New SP920(256GB),ADATA,내장형,2.5형(6.4cm),MLC(동기식),,,마벨 88SS9188,최대 360MB/s,최대 560MB/s,,,,,O,,"
"기가스톤  Prime SS-8400(128GB),기가스톤,내장형,2.5형(6.4cm),TLC(기타),3D낸드,,실리콘모션 SMI2258,300MB/s,550MB/s,,,,,,,"
"ADATA  Premier SP580(120GB),ADATA,내장형,2.5형(6.4cm),TLC(토글),,,마벨 88NV1120,최대 410MB/s,최대 560MB/s,,,,,,,"
"Sandisk  Z400s(256GB),Sandisk,내장형,2.5형(6.4cm),MLC(낸드),,,,최대 330MB/s,최대 549MB/s,,,,,,,"
"ADATA  Ultimate SU900(256GB),ADATA,내장형,2.5형(6.4cm),MLC(기타),3D낸드,,실리콘모션 SMI 2258,최대 520MB/s,최대 560MB/s,,,,,,,"
