"TeamGroup T-Force DDR4 16G PC4-24000 CL16 DARK Gray (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"타무즈  노트북 DDR4 8G PC4-17000 CL15,타무즈,DDR4,노트북용,1ea,미포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-24000 CL14 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,000MHz,1.35V"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE BLACK 블루,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE BLACK 레드,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"ESSENCORE KLEVV DDR4 4G PC4-17000 CL15,ESSENCORE,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 8G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 4G PC4-19200 CL16 EVO-X 화이트 RGB (4Gx1),GeIL,DDR4,PC용,1ea,포함,4GB,2,400MHz,1.20V"
"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-26600 CL16 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,333MHz,1.35V"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,600MHz,1.35V"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4,000MHz,1.35V"
"CORSAIR  DDR4 16G PC4-25600 CL16 VENGEANCE LED 화이트 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3,200MHz,1.35V"
"G.SKILL  DDR4 16G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,16GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,16GB,2,400MHz,1.20V"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT Z (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4,000MHz,1.35V"
"G.SKILL  DDR4 8G PC4-19200 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,400MHz,1.20V"
"G.SKILL  DDR4 8G PC4-17000 CL15 NT,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2,133MHz,1.20V"
"TeamGroup  DDR4 4G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,4GB,2,400MHz,1.20V"
"TeamGroup T-Force DDR4 16G PC4-24000 CL16 Night Hawk Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT ZKW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4,000MHz,1.35V"
"ESSENCORE KLEVV DDR3 16G PC3-17000 CL10 URBANE (8Gx2),ESSENCORE,DDR3,PC용,2ea,포함,16GB,2,133MHz,1.60V"
"CORSAIR  DDR4 16G PC4-21300 CL16 VENGEANCE LED 화이트 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2,666MHz,1.20V"
"ESSENCORE KLEVV DDR3 8G PC3-17000 CL10 NEO (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,2,133MHz,1.60V"
"TeamGroup T-Force DDR4 32G PC4-25600 CL16 Night Hawk Red (16Gx2),TeamGroup,DDR4,PC용,2ea,포함,32GB,3,200MHz,1.35V"
"G.SKILL  DDR4 16G PC4-27700 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,466MHz,1.35V"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE BLACK 레드,GeIL,DDR4,PC용,1ea,포함,8GB,2,133MHz,1.20V"
"G.SKILL  DDR4 8G PC4-21300 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2,666MHz,1.20V"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,600MHz,1.35V"
"GeIL  DDR4 4G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,4GB,2,400MHz,1.20V"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE BLACK 블루,GeIL,DDR4,PC용,1ea,포함,16GB,2,133MHz,1.20V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE WHITE 화이트,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
"TeamGroup  노트북 DDR4 16G PC4-17000,TeamGroup,DDR4,노트북용,1ea,미포함,16GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-28800 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3,600MHz,1.35V"
"G.SKILL  DDR4 4G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,4GB,2,400MHz,1.20V"
"타무즈  DDR4 4G PC4-17000 CL15,타무즈,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VK,G.SKILL,DDR4,PC용,1ea,포함,16GB,3,200MHz,1.35V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 블루 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"GeIL  DDR4 32G PC4-24000 CL15 EVO-X 화이트 RGB (16Gx2),GeIL,DDR4,PC용,2ea,포함,32GB,3,000MHz,1.35V"
"G.SKILL  DDR4 16G PC4-17000 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,16GB,2,133MHz,1.20V"
"ESSENCORE KLEVV DDR3 8G PC3-22400 CL12 URBANE (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,2,800MHz,1.65V"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 레드 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2,400MHz,1.20V"
"ESSENCORE KLEVV DDR4 16G PC4-24000 CL15 CRAS II RED (8Gx2),ESSENCORE,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE BLACK 블루 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3,000MHz,1.35V"
"G.SKILL  DDR4 4G PC4-17000 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,4GB,2,133MHz,1.20V"
"G.SKILL  DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3,466MHz,1.35V"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE WHITE 블루,GeIL,DDR4,PC용,1ea,포함,4GB,2,133MHz,1.20V"
