"ASRock  Z270 Gaming-ITX/ac 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,Mini-iTX (17.0 x 17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 2개,,,O,O,O,,,,,,O,PS/2 콤보 1개,O,,O,O"
"GIGABYTE  GA-H270-Gaming 3 게이밍에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,,,,,,,O,O,PS/2 콤보 1개,O,,,"
"ASUS  H110M-K STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,(M.2) 미지원,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,"
"GIGABYTE  GA-B250-HD3 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (30.5 x 22.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  J3455-ITX 에즈윈,ASRock,인텔 CPU용,인텔(CPU내장),(인텔)셀러론 J3455,Mini-iTX (17.0 x 17.0cm),DDR3/DDR3L(노트북용),2개,최대 16GB,,,,(M.2) 1개,O,O,O,,,,,,,,,PS/2 포트 2개,O,,,"
"Supermicro 슈퍼오 C7-B250-CB-MK STCOM,Supermicro,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,PCI-Express 3.0 x4,(M.2) 1개,,O,O,O,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASUS PRIME H270M-PLUS iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H270,Micro-ATX (24.38 x 23.88cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"Supermicro 슈퍼오 C7-Z270-PG STCOM,Supermicro,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,,,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,"
"GIGABYTE  GA-H110N 듀러블에디션 제이씨현,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) H110,Mini-iTX (17.0 x 17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  B250M-HDV 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (18.2 x 22.5cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  Z270M PRO4 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"MSI  X99A MPOWER 웨이코스,MSI,인텔 CPU용,인텔(소켓2011-V3),(인텔) X99,일반-ATX (30.5 x 24.4cm),DDR4,8개,최대 128GB 이상,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,,,,,,,,,,O,O,PS/2 콤보 1개,O,,,"
"MSI  Z270 XPOWER 게이밍 티타늄,MSI,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,,,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,"
"ASRock  H270M-ITX/ac 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H270,Mini-iTX (17.0 x 17.0cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASUS PRIME B250-PLUS STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,일반-ATX (30.5 x 21.8cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,"
"ASRock  Z270 PRO4 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 22cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,"
"ASRock  H81M-DGS R2.0 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1150),(인텔) H81,Micro-ATX (24.4 x 24.4cm),DDR3,2개,최대 16GB,,PCIe x16,없음,(M.2) 미지원,O,O,,,,,,,,O,,PS/2 콤보 1개,O,,,"
"Supermicro 슈퍼오 C7-Z270-CG STCOM,Supermicro,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,,O,O,O,,,,,,,O,PS/2 콤보 1개,O,,,"
