"Antec  VPF 650 80PLUS 브론즈,Antec,ATX 파워,정격 650W,표기 650W,20핀+4핀,120mm 팬,O,,,O,,O"
"GIGABYTE  B700H 80PLUS BRONZE 모듈러,GIGABYTE,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,O"
"AONE  Micro 450P KC,AONE,M-ATX 파워,,표기 450W,20핀+4핀,80mm 팬,,,O,,,"
"마이크로닉스  Performance II PV 500W 80Plus Bronze Surge 4K,마이크로닉스,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,O,O,,O"
"맥스엘리트  MAXWELL GAMING 600W 85PLUS,맥스엘리트,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,,,"
"시소닉  P-1200 80PLUS PLATINUM,시소닉,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,120mm 팬,O,O,,O,,O"
"AONE  태왕 TFX-450T KC,AONE,TFX 파워,,표기 450W,20핀+4핀,80mm 팬,,,O,,,"
"CORSAIR  SF600 80PLUS GOLD,CORSAIR,SFX 파워,정격 600W,표기 600W,20핀+4핀,92mm 팬,O,,,,,O"
"POWEREX  PREMIUM 500W 벌크,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"스카이디지탈  파워스테이션4 PS4-350M 86P ActivePFC V2.31,스카이디지탈,M-ATX 파워,정격 350W,표기 350W,24핀 전용,60mm 팬,O,,,O,,"
"CORSAIR  VS650 80PLUS STANDARD,CORSAIR,ATX 파워,정격 650W,표기 650W,20핀+4핀,120mm 팬,O,,,O,,O"
"POWEREX  REX-u450,POWEREX,M-ATX 파워,정격 400W,표기 450W,20핀+4핀,120mm 팬,O,,,,,"
"CORSAIR  RM850x 80PLUS GOLD,CORSAIR,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O"
"마이크로닉스  ZERO POWER 500W,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,,O,,O,,"
"Enermax  RevolutionXt II ERX750AWT,Enermax,ATX 파워,정격 750W,,24핀 전용,120mm 팬,O,,,O,,O"
"FSP  FSP550-50KPN,FSP,ATX 파워,정격 550W,표기 550W,20핀+4핀,120mm 팬,O,,,O,,"
"REX COOL  SILENT TFX TG-450,REX COOL,TFX 파워,정격 230W,,20핀+4핀,80mm 팬,,,O,,,"
"SuperFlower  SF-500R12A NOVA 80PLUS,SuperFlower,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,,,O"
"POWEREX  BLACKQ II 500W 80PLUS(정품),POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O"
"SuperFlower  SF-600R12A NOVA,SuperFlower,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,,,"
"Antec  EDGE650 GOLD LED 풀모듈러,Antec,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,O,,,O,,O"
"잘만  ZM600-TX 80Plus 230V EU,잘만,ATX 파워,정격 600W,표기 600W,20핀+4핀,140mm 팬,O,,,O,,O"
"잘만  ZM700-GVM 700W 80 PLUS BRONZE,잘만,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,O"
"SuperFlower  SF-750F14MG II LEADEX GOLD,SuperFlower,ATX 파워,정격 750W,표기 750W,20핀+4핀,135mm 팬,O,,,,,O"
"SuperFlower  SF-850F14MP LEADEX PLATINUM,SuperFlower,ATX 파워,정격 850W,표기 850W,20핀+4핀,140mm,O,O,,O,,O"
"마이크로닉스  ASTRO GD 650W 80PLUS GOLD,마이크로닉스,ATX 파워,정격 650W,표기 650W,20핀+4핀,135mm 팬,,O,O,O,,O"
"Antec  VP600P,Antec,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"스파클텍  GPK500S 80PLUS BRONZE 프리볼트,스파클텍,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O"
