"리드텍  쿼드로 K420 D3 2GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe2.0x16,GDDR3(DDR3),2GB,128-bit,,1개,O,O,O,,,,,,,177 mm,20 mm,최대 45W"
"갤럭시 GALAX 지포스 GTX950 OC HONEY D5 2GB,갤럭시,NVIDIA,지포스 GTX9xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,O,O,O,,O,,,,,230 mm,38 mm,최대 90W"
"GIGABYTE  라데온 RX 550 Gaming D5 2GB,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,191 mm,37 mm,"
"ZOTAC  지포스 GTX1080 ARCTICSTORM 워터블럭 D5X 8GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,,O,,O,O,,,,수냉 쿨링,300 mm,,최대 180W"
"GIGABYTE  라데온 R7 360 UD2 OC D5 2GB 미니미,GIGABYTE,AMD(ATi),라데온 R7 3xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,O,,O,,,,,,방열판+쿨러,146 mm,35 mm,"
"갤럭시 GALAX 지포스 GT730 D3 2GB,갤럭시,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR3(DDR3),2GB,128-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,21 mm,"
"이엠텍 HV 지포스 GT710 LowProfile Edition D3 1GB,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,18 mm,최대 19W"
"GIGABYTE  라데온 R5 230 UD2 D3 1GB 미니미,GIGABYTE,AMD(ATi),라데온 R5 2xx,PCIe2.0x16,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,167 mm,15 mm,"
"SAPPHIRE  라데온 Pro Duo HBM 8GB,SAPPHIRE,AMD(ATi),라데온 R9 Fury,PCIe3.0x16,HBM(1세대),8GB(4GB x2),8192-bit(4096-bit x2),1개,3개,O,O,O,O,,,,,수냉 쿨링,267 mm,38/ mm,최대 350W"
"이엠텍 XENON 지포스 GT730 D5 1GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,165 mm,18 mm,최대 38W"
"이엠텍 HV 지포스 G210 버디 HDMI D3 512MB LP,이엠텍,NVIDIA,지포스 G2xx,PCIe2.0x16,GDDR3(DDR3),512MB,32-bit,1개,,,O,,,,,,,방열판+쿨러,,,최대 30.5W"
"GIGABYTE  지포스 GTX1080 AORUS Xtreme D5X 8GB,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,O,O,O,O,O,,,,히트파이프+쿨러,293 mm,55 mm,"
"GIGABYTE  지포스 GT710 UD2 D3 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,144 mm,13 mm,최대 19W"
"PowerColor  라데온 RX 460 D5 2GB 레드드래곤,PowerColor,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,225 mm,38 mm,"
"Colorful  지포스 GT710 REVENGE D3 1GB LP,Colorful,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,19 mm,최대 19W"
"이엠텍 XENON 지포스 GT730 D3 1GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,150 mm,19 mm,최대 23W"
"MSI  지포스 GT730 OC D5 1GB LP 화이트 웨이코스,MSI,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,20 mm,최대 30W"
"XFX  라데온 RX 460 블랙울프 Slim OC D5 2GB,XFX,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,,,O,,,,,170 mm,18 mm,"
"Colorful  지포스 GT730 REVENGE D3 1GB LP,Colorful,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,19 mm,최대 23W"
"GIGABYTE  지포스 GTX980 3Way-SLI 워터포스,GIGABYTE,NVIDIA,지포스 GTX9xx,PCIe3.0x16,GDDR5(DDR5),4GB,256-bit,개별 1개, 전체 3개,개별 3개, 전체 9개,O,O,O,,O,,,,수냉쿨러,,,최대 220W"
