"ABKO  NCORE H100 대항마 USB3.0 풀 아크릴 윈도우 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,2개,375 mm,CPU쿨러: 162mm,2열 수랭쿨러 지원"
"3RSYS  J210 해머 풀 강화아크릴 윈도우,3RSYS,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,3개,최대 350 mm,CPU쿨러: 최대 153mm,"
"ABKO NCORE 코로나 USB3.0 풀아크릴 윈도우 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 3개,최대 370 mm,CPU쿨러: 최대 156mm,2열 수랭쿨러 지원"
"be quiet  SILENT BASE 800 Window Red,be quiet,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,,400 mm,CPU쿨러: 170mm,2열 수랭쿨러 지원"
"마이크로닉스  Frontier ARC-3000 BLACK,마이크로닉스,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 370 mm,CPU쿨러: 최대 165mm,2열 수랭쿨러 지원"
"ABKO  NCORE T40 크런키 USB3.0,ABKO,PC케이스(M-ATX),슬림(LP),Micro-ATX,,,O,,,,,O,3개,최대 200 mm,,"
"Fractal Design  Define R5 Titanium Window,Fractal Design,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 2개,최대 440 mm,CPU쿨러: 최대 180mm,3열 수랭쿨러 지원"
"BRAVOTEC  트레저 X3 730L 블랙,BRAVOTEC,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 340 mm,CPU쿨러: 최대 175mm,2열 수랭쿨러 지원"
"COUGAR  PANZER 강화유리 BRAVOTEC,COUGAR,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 6개,최대 425 mm,CPU쿨러: 최대 160mm,3열 수랭쿨러 지원"
"ABKO  SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING 화이트,ABKO,PC케이스(ATX),빅타워,표준-ATX,O,O,O,,,,,O,6개,최대 400 mm,CPU쿨러: 최대 165mm,3열 수랭쿨러 지원"
"CORSAIR CARBIDE SERIES QUIET 600Q,CORSAIR,PC케이스(RTX),빅타워,표준-ATX,O,O,O,,,,,O,3개,최대 370 mm,CPU쿨러: 최대 200mm,3열 수랭쿨러 지원"
"ABKO  SUITMASTER 501S RGB 컨트롤 화이트,ABKO,PC케이스(ATX),미들타워,표준-ATX,,O,O,,,,,O,최대 7개,최대 450 mm,CPU쿨러: 최대 160mm,2열 수랭쿨러 지원"
